title,rating,ranking
Aria the OVA: Arietta,8.02,522
Detective Conan Movie 15: Quarter of Silence,8.02,523
Fullmetal Alchemist: Brotherhood Specials,8.02,524
Golden Boy,8.02,525
High Score Girl II,8.02,526
High Score Girl: Extra Stage,8.02,527
Mobile Suit Gundam: The 08th MS Team,8.02,528
Wolf's Rain OVA,8.02,529
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,8.02,530
Ookiku Furikabutte: Natsu no Taikai-hen,8.01,531
Persona 3 the Movie 4: Winter of Rebirth,8.01,532
ReLIFE,8.01,533
Sakasama no Patema,8.01,534
School Rumble Ni Gakki,8.01,535
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,8.01,536
Tate no Yuusha no Nariagari,8.01,537
Touch,8.01,538
Wan Sheng Jie,8.01,539
Code Geass: Hangyaku no Lelouch III - Oudou,8.01,540
Durarara!!x2 Shou,8.01,541
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.01,542
Kakushigoto (TV),8.01,543
Kingdom,8.01,544
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,8.01,545
Maoujou de Oyasumi,8.01,546
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,8.00,547
Boku no Hero Academia,8.00,548
Boku no Hero Academia 4th Season,8.00,549
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.00,550
Bungou Stray Dogs Wan!,7.87,733
Hanasaku Iroha Movie: Home Sweet Home,7.87,734
High☆Speed! Movie: Free! Starting Days,7.87,735
Hoozuki no Reitetsu OVA,7.87,736
Id:Invaded,7.87,737
Inochi no Tabekata,7.87,738
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,7.87,739
Les Misérables: Shoujo Cosette,7.87,740
Magi: Sinbad no Bouken (TV),7.87,741
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,7.86,742
Bishoujo Senshi Sailor Moon S,7.86,743
Detective Conan Movie 01: The Timed Skyscraper,7.86,744
Flanders no Inu (Movie),7.86,745
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,7.86,746
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.86,747
Magic Kaito 1412,7.86,748
Musekinin Kanchou Tylor,7.86,749
Seihou Bukyou Outlaw Star,7.86,750
Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.21,301
Toaru Kagaku no Railgun T,8.21,302
Haikyuu!! Second Season,8.67,51
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.67,52
Hajime no Ippo: New Challenger,8.66,53
Howl no Ugoku Shiro,8.66,54
Yoru wa Mijikashi Arukeyo Otome,8.21,303
Bakuman.,8.21,304
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21,305
Chihayafuru,8.21,306
Horimiya,8.21,307
InuYasha: Kanketsu-hen,8.21,308
Kaguya-hime no Monogatari,8.21,309
Little Busters!: Refrain,8.21,310
